EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
1741192;0;GR;3901;Chur;Oberalpstrasse;56;7000;0;Chur;2758716.83;1191342.528;de
1741193;0;GR;3901;Chur;Distelweg;1;7000;0;Chur;2758738.983;1191452.136;de
1741194;0;GR;3901;Chur;Distelweg;3;7000;0;Chur;2758723.972;1191475.131;de
1741195;0;GR;3901;Chur;Distelweg;4;7000;0;Chur;2758735.837;1191489.333;de
1741196;0;GR;3901;Chur;Distelweg;7;7000;0;Chur;2758696.202;1191477.96;de
1741197;0;GR;3901;Chur;Distelweg;9;7000;0;Chur;2758708.273;1191495.655;de
1741198;0;GR;3901;Chur;Distelweg;11;7000;0;Chur;2758684.567;1191509.328;de
1741199;0;GR;3901;Chur;Erikaweg;1;7000;0;Chur;2758794.63;1191381.364;de
1741200;0;GR;3901;Chur;Erikaweg;3;7000;0;Chur;2758783.636;1191393.569;de
1741201;0;GR;3901;Chur;Erikaweg;4;7000;0;Chur;2758809.671;1191406.816;de
1741203;0;GR;3901;Chur;Erikaweg;6;7000;0;Chur;2758798.825;1191421.752;de
1741204;0;GR;3901;Chur;Erikaweg;7;7000;0;Chur;2758762.633;1191416.181;de
1741205;0;GR;3901;Chur;Erikaweg;8;7000;0;Chur;2758788.825;1191434.643;de
1741206;0;GR;3901;Chur;Erikaweg;9;7000;0;Chur;2758759.15;1191431.536;de
1741207;0;GR;3901;Chur;Erikaweg;10;7000;0;Chur;2758778.574;1191443.148;de
1741208;0;GR;3901;Chur;Erikaweg;11;7000;0;Chur;2758752.336;1191436.834;de
1741209;0;GR;3901;Chur;Fliederweg;3;7000;0;Chur;2758771.145;1191456.676;de
1741210;0;GR;3901;Chur;Fliederweg;4;7000;0;Chur;2758754.537;1191468.882;de
1741211;0;GR;3901;Chur;Fliederweg;7;7000;0;Chur;2758730.81;1191419.782;de
1741212;0;GR;3901;Chur;Fliederweg;8;7000;0;Chur;2758716.703;1191437.841;de
