Grundstueck-Nummer;EGID;Gebaeude-Koordinate X;Gebaeude-Koordinate Y;Gebaeude-Baujahr;Gebaeude-Kategorie;Gebaeude-Klasse-Nummer;Gebaeude-Klasse;Gebaeude-Flaeche;Gebaeude-Geschosse;Gebaeude-Strasse;Gebaeude-Hausnummer;Gebaeude-PLZ;Gebaeude-Ort
4386;001 739 867;2760155;1191606;1951;69  ;Anz. separate Wohnräume;  ;69;2;Madrisaweg;9;7000;Chur
12616;191 204 336;2759541;1192723;2015;136  ;Anz. separate Wohnräume;  ;136;2;Wiesentalstrasse;220;7000;Chur
3243;001 741 062;2759003;1191734;1921;83  ;Anz. separate Wohnräume;  ;83;2;Sonnenweg;10;7000;Chur
5990;009 021 489;2759078;1192148;1991;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;521;3;Dreibündenstrasse;42;7000;Chur
3656;001 741 076;2759068;1191372;1933;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;146;3;Oberalpstrasse;25;7000;Chur
;001 740 368;2759728;1191852;1910;52  ;Anz. separate Wohnräume;  ;52;3;Heimstrasse;8;7000;Chur
4666;001 739 873;2760216;1191555;1963;93  ;Anz. separate Wohnräume;  ;93;2;Meierweg;2;7000;Chur
10080;001 741 710;2758942;1191884;1947;63  ;Anz. separate Wohnräume;  ;63;2;Holunderweg;8;7000;Chur
1629;009 021 270;2758055;1192114;1994;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;157;3;Austrasse;11;7000;Chur
3987;001 741 857;2759516;1192086;1909;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;143;3;Wiesentalstrasse;88;7000;Chur
1571;001 739 734;2759684;1193489;1913;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;98  ;Gebäude mit zwei Wohnungen;3;Lichtensteinweg;14;7000;Chur
7516;001 740 591;2759857;1192607;1954;100  ;Anz. separate Wohnräume;  ;100;2;Masanserstrasse;180;7000;Chur
20705;001 210 623;2762019;1189395; ;   ;Anz. separate Wohnräume;  ; ;3;Dorfstrasse;4;7026;Maladers
;400 017 671;2760068;1191431;1960;   ;Anz. separate Wohnräume;  ; ;1;Loëstrasse;37;7000;Chur
6714;009 021 516;2759231;1191635;1993;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;1107;4;Werkstrasse;27;7000;Chur
10385;400 017 665;2759863;1193342;2001;108  ;Anz. separate Wohnräume;  ;108;2;Kronenwingert;62;7000;Chur
6701;009 021 502;2759874;1190262;1991;65  ;Anz. separate Wohnräume;  ;65;4;Susenbühlstrasse;64;7000;Chur
2526;001 739 046;2759510;1190584;1890;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen 107; ;4;Lindenquai;12;7000;Chur
6102;001 739 720;2759852;1193417;1970;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;261;5;Fadäraweg;4;7000;Chur
1007;001 741 843;2759270;1192018;1972;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;1011;6;Aspermontstrasse;11;7000;Chur
5065;001 740 585;2759855;1192537;1964;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;512;3;Masanserstrasse;168;7000;Chur
20734;001 210 637;2761941;1189361; ;  0;Anz. separate Wohnräume;0 ; ;2;Bongert;8;7026;Maladers
6296;001 739 708;2759761;1193524;1978;90  ;Anz. separate Wohnräume;  ;90;2;Deutsche Strasse;9;7000;Chur
2819;001 738 416;2759828;1190609;1974;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;506;6;Jochstrasse;27;7000;Chur
20653;003 035 262;2761861;1189428; ;   ;Anz. separate Wohnräume;  ; ;2;Winkel;14;7026;Maladers
0;009 021 258;2759563;1190944;1904;1445 1;Anz. separate Wohnräume;1 ;1445;4;Gäuggelistrasse;1;7000;Chur
6138;009 001 188;2759403;1193190;1974;   ;Anz. separate Wohnräume;  ; ;1;Rheinmühleweg;87;7000;Chur
20816;003 035 276;2761907;1189486; ;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;   ;Gebäude mit zwei Wohnungen;3;Hinder der Chilcha;15;7026;Maladers
